"Name";"DisplayName"
"gpsvc";"Group Policy Client"
"gupdate";"Google Update Tjeneste (gupdate)"
"gupdatem";"Google Update Tjeneste (gupdatem)"
"hidserv";"Human Interface Device Service"
"icssvc";"Windows Mobile Hotspot Service"
"iphlpsvc";"IP Helper"
"lfsvc";"Geolocation Service"
"lltdsvc";"Link-Layer Topology Discovery Mapper"
"lmhosts";"TCP/IP NetBIOS Helper"
"lpasvc";"Microsoft Policy Platform Local Authority"
"lppsvc";"Microsoft Policy Platform Processor"
"msiserver";"Windows Installer"
"netprofm";"Network List Service"
"nsi";"Network Store Interface Service"
"ose64";"Office 64 Source Engine"
"pla";"Performance Logs & Alerts"
"sacsvr";"Special Administration Console Helper"
"seclogon";"Secondary Logon"
"shpamsvc";"Shared PC Account Manager"
"smphost";"Microsoft Storage Spaces SMP"
"smstsmgr";"ConfigMgr Task Sequence Agent"
"sppsvc";"Software Protection"
"stisvc";"Windows Image Acquisition (WIA)"
"svsvc";"Spot Verifier"
"swprv";"Microsoft Software Shadow Copy Provider"
"tiledatamodelsvc";"Tile Data model server"
"tzautoupdate";"Auto Time Zone Updater"
"upnphost";"UPnP Device Host"
"vds";"Virtual Disk"
"vmicguestinterface";"Hyper-V Guest Service Interface"
"vmicheartbeat";"Hyper-V Heartbeat Service"
"vmickvpexchange";"Hyper-V Data Exchange Service"
"vmicrdv";"Hyper-V Remote Desktop Virtualization Service"
"vmicshutdown";"Hyper-V Guest Shutdown Service"
"vmictimesync";"Hyper-V Time Synchronization Service"
"vmicvmsession";"Hyper-V PowerShell Direct Service"
"vmicvss";"Hyper-V Volume Shadow Copy Requestor"
"vmvss";"VMware Snapshot Provider"
"w32time";"Windows Time"
"w3logsvc";"W3C Logging Service"
"wercplsupport";"Problem Reports and Solutions Control Panel Support"
"wisvc";"Windows Insider Service"
"wlidsvc";"Microsoft Account Sign-in Assistant"
"wmiApSrv";"WMI Performance Adapter"
"wuauserv";"Windows Update"
"wudfsvc";"Windows Driver Foundation - User-mode Driver Framework"
